region,event_month,supply_source,demande_source,plateforme_AE,device_type,revenue
NA,2025-05-01,Offsite,Adx,DM Network,Web+App,30031.201052467026
NA,2025-03-01,Offsite,Adx,DM Network,Web+App,46205.107735667
NA,2025-04-01,Offsite,Adx,DM Network,Web+App,32880.892074770578
NA,2025-07-01,Onsite,Adx,DM Network,Web+App,447563.78850108775
NA,2025-05-01,Onsite,Adx,DM Network,Web+App,490720.2129415347
NA,2025-04-01,Onsite,Adx,DM Network,Web+App,432942.91971924715
NA,2025-07-01,Offsite,Adx,DM Network,Web+App,17666.613325404396
NA,2025-01-01,Offsite,Adx,DM Network,Web+App,20654.119127150669
NA,2025-01-01,Onsite,Adx,DM Network,Web+App,388637.31842399167
NA,2025-03-01,Onsite,Adx,DM Network,Web+App,515476.66130607272
NA,2025-02-01,Offsite,Adx,DM Network,Web+App,21417.790171882785
,2025-07-01,Offsite,Open Auction,DM Network,Web+App,21.009842885332642
,2025-02-01,Offsite,Open Auction,DM Network,Web+App,77.548846581754844
,2025-01-01,Offsite,Open Auction,DM Network,Web+App,12.713592488466075
,2025-05-01,Onsite,Open Auction,DM Network,Web+App,103.85812966317737
,2025-01-01,Onsite,Open Auction,DM Network,Web+App,4.9527717675216456
,2025-07-01,Onsite,Open Auction,DM Network,Web+App,266.01783364449153
,2025-03-01,Offsite,Open Auction,DM Network,Web+App,578.52845575385493
,2025-02-01,Onsite,Open Auction,DM Network,Web+App,21.167761399261014
,2025-04-01,Onsite,Open Auction,DM Network,Web+App,118.8531470672486
,2025-03-01,Onsite,Open Auction,DM Network,Web+App,119.46828869158388
,2025-06-01,Offsite,Open Auction,DM Network,Web+App,71.824754600995348
,2025-04-01,Offsite,Open Auction,DM Network,Web+App,255.38815396074639
,2025-06-01,Onsite,Open Auction,DM Network,Web+App,286.829312883181
,2025-05-01,Offsite,Open Auction,DM Network,Web+App,59.6980180253991
APAC,2025-06-01,Onsite,Open Auction,DM Network,Web+App,88548.302205693777
APAC,2025-03-01,Offsite,Open Auction,DM Network,Web+App,6354.1098865900512
APAC,2025-03-01,Onsite,Open Auction,DM Network,Web+App,86994.136573106982
APAC,2025-02-01,Offsite,Open Auction,DM Network,Web+App,4643.6320858067229
APAC,2025-01-01,Onsite,Open Auction,DM Network,Web+App,82675.990258469683
APAC,2025-07-01,Onsite,Open Auction,DM Network,Web+App,45331.688451377777
APAC,2025-07-01,Offsite,Open Auction,DM Network,Web+App,6461.9749995553111
APAC,2025-06-01,Offsite,Open Auction,DM Network,Web+App,9202.3027972656964
APAC,2025-01-01,Offsite,Open Auction,DM Network,Web+App,4470.9444322250065
APAC,2025-05-01,Onsite,Open Auction,DM Network,Web+App,60175.225813481971
APAC,2025-05-01,Offsite,Open Auction,DM Network,Web+App,10825.477792827658
APAC,2025-04-01,Onsite,Open Auction,DM Network,Web+App,38121.379518962385
APAC,2025-04-01,Offsite,Open Auction,DM Network,Web+App,10416.673859550574
APAC,2025-02-01,Onsite,Open Auction,DM Network,Web+App,78263.555821171831
EMEA,2025-05-01,Onsite,Open Auction,DM Network,Web+App,364448.19730327337
EMEA,2025-04-01,Onsite,Open Auction,DM Network,Web+App,289279.07597056864
EMEA,2025-03-01,Offsite,Open Auction,DM Network,Web+App,197159.43052871159
EMEA,2025-02-01,Offsite,Open Auction,DM Network,Web+App,196169.04467248707
EMEA,2025-03-01,Onsite,Open Auction,DM Network,Web+App,306782.68672020372
EMEA,2025-01-01,Offsite,Open Auction,DM Network,Web+App,184960.93517394961
EMEA,2025-04-01,Offsite,Open Auction,DM Network,Web+App,212512.93016164948
EMEA,2025-02-01,Onsite,Open Auction,DM Network,Web+App,298137.69786153873
EMEA,2025-06-01,Offsite,Open Auction,DM Network,Web+App,302958.83767586463
EMEA,2025-07-01,Onsite,Open Auction,DM Network,Web+App,272150.60263595969
EMEA,2025-07-01,Offsite,Open Auction,DM Network,Web+App,128533.63448671372
EMEA,2025-05-01,Offsite,Open Auction,DM Network,Web+App,311259.54482117249
EMEA,2025-06-01,Onsite,Open Auction,DM Network,Web+App,496377.50245607411
EMEA,2025-01-01,Onsite,Open Auction,DM Network,Web+App,267299.22758616868
France,2025-03-01,Offsite,Open Auction,DM Network,Web+App,202508.23700887212
France,2025-01-01,Offsite,Open Auction,DM Network,Web+App,211071.81829745651
France,2025-02-01,Offsite,Open Auction,DM Network,Web+App,224610.57392920461
France,2025-07-01,Offsite,Open Auction,DM Network,Web+App,262828.58874473843
France,2025-02-01,Onsite,Open Auction,DM Network,Web+App,13720.574688277602
France,2025-03-01,Onsite,Open Auction,DM Network,Web+App,19245.123479552833
France,2025-06-01,Onsite,Open Auction,DM Network,Web+App,35750.220625087743
France,2025-01-01,Onsite,Open Auction,DM Network,Web+App,15734.291959965063
France,2025-04-01,Onsite,Open Auction,DM Network,Web+App,19711.615814836096
France,2025-04-01,Offsite,Open Auction,DM Network,Web+App,243023.71706753888
France,2025-07-01,Onsite,Open Auction,DM Network,Web+App,18355.093730362572
France,2025-05-01,Onsite,Open Auction,DM Network,Web+App,17968.421851934243
France,2025-06-01,Offsite,Open Auction,DM Network,Web+App,555627.912589121
France,2025-05-01,Offsite,Open Auction,DM Network,Web+App,403365.69712134392
LATAM,2025-01-01,Offsite,Open Auction,DM Network,Web+App,10415.367271342013
LATAM,2025-02-01,Onsite,Open Auction,DM Network,Web+App,34256.266575138128
LATAM,2025-04-01,Offsite,Open Auction,DM Network,Web+App,19000.223451283997
LATAM,2025-01-01,Onsite,Open Auction,DM Network,Web+App,27520.618516638333
LATAM,2025-03-01,Offsite,Open Auction,DM Network,Web+App,25041.494953731319
LATAM,2025-02-01,Offsite,Open Auction,DM Network,Web+App,8663.8405205170839
LATAM,2025-03-01,Onsite,Open Auction,DM Network,Web+App,48869.179921732044
LATAM,2025-06-01,Offsite,Open Auction,DM Network,Web+App,24995.624360780072
LATAM,2025-07-01,Offsite,Open Auction,DM Network,Web+App,14213.449739712107
LATAM,2025-04-01,Onsite,Open Auction,DM Network,Web+App,26169.532768525492
LATAM,2025-07-01,Onsite,Open Auction,DM Network,Web+App,25764.980561144919
LATAM,2025-06-01,Onsite,Open Auction,DM Network,Web+App,80476.398457593823
LATAM,2025-05-01,Offsite,Open Auction,DM Network,Web+App,19980.733097373814
LATAM,2025-05-01,Onsite,Open Auction,DM Network,Web+App,28258.915322133504
NA,2025-05-01,Offsite,Open Auction,DM Network,Web+App,112131.792853156
NA,2025-05-01,Onsite,Open Auction,DM Network,Web+App,373183.09213814873
NA,2025-07-01,Offsite,Open Auction,DM Network,Web+App,83192.827867985208
NA,2025-03-01,Onsite,Open Auction,DM Network,Web+App,440408.05540136679
